"Avdeling","Formel","Forklaringsgrad"
"15 SB","Rating = 4.269 + 0.395Gode_P","0.092"
"33 DG","Rating = 4.235 + 0.275Positiv + -0.603Rimelige_P + 0.413Gode_P","0.128"
"13 VT","Rating = 4.291 + 0.266Positiv + 0.284Gode_P","0.078"
"32 MB","Rating = 4.110 + 0.413Positiv + 0.430Gode_P","0.162"
"40 FLOTT","Rating = 4.268 + 0.593Positiv","0.110"
"20 TG","Rating = 4.133 + 0.385Positiv + 0.292Gode_P + 0.485Annet_B","0.092"
"38 SAND","Rating = 4.173","0.064"
"17 TM","Rating = 4.179","0.050"
"14 TA","Rating = 3.834","0.126"
"31 LAG","Rating = 4.231 + 0.288Positiv + 0.268Gode_P","0.072"
"27 NY","Rating = 3.639","0.179"
"36 FEST","Rating = 4.093","0.088"
"22 MA","Rating = 4.286","0.024"
"26 CH","Rating = 4.293 + 0.268Gode_P","0.067"
"30 SOL","Rating = 4.102 + 0.754Positiv","0.181"
"12 VA","Rating = 4.014 + 0.432Gode_P","0.093"
"29 TS","Rating = 4.050 + 0.509Positiv","0.091"
"19 HS","Rating = 3.895 + 0.560Positiv + 0.403Gode_P","0.095"
"25 BH","Rating = 3.962 + -2.962Annet_B","0.189"
"11 NK","Rating = 3.808 + 0.363Positiv + 0.488Gode_P","0.077"
"21 NV","Rating = 4.216 + 0.343Gode_P","0.050"
"23 FS","Rating = 3.854 + 0.550Positiv + 0.463Gode_P","0.167"
"28 GR","Rating = 3.900","0.170"
"24 HO","Rating = 4.536 + -1.536Annet_B","0.204"
